date,open,close,high,low,mid,ma7,ma30,pct_change,year_month,weekday
2026-03-09,1485.14,1461.68,1498.14,1461.61,1479.875,1468.720714285714,1451.546,-0.11642818574513214,2026-03,Monday
2026-03-10,1461.65,1473.3,1479.68,1461.65,1470.665,1473.3535714285715,1452.576,-0.6223498606301225,2026-03,Tuesday
2026-03-11,1473.3,1479.18,1479.89,1463.64,1471.765,1475.5049999999999,1454.0263333333335,0.07479609564382539,2026-03,Wednesday
2026-03-12,1479.22,1493.26,1495.66,1475.38,1485.52,1476.1992857142857,1455.8265,0.9345921393700607,2026-03,Thursday
2026-03-13,1493.28,1503.82,1504.31,1480.47,1492.39,1479.3178571428568,1457.5459999999998,0.46246432225753864,2026-03,Friday
2026-03-16,1503.14,1489.65,1503.14,1486.92,1495.03,1482.4064285714285,1458.8166666666666,0.1768974597792683,2026-03,Monday
2026-03-17,1489.65,1487.62,1495.1,1484.25,1489.675,1483.56,1460.2383333333335,-0.35818679223827976,2026-03,Tuesday
2026-03-18,1487.61,1509.86,1510.73,1482.57,1496.65,1485.956428571429,1461.6295,0.4682229345327027,2026-03,Wednesday
2026-03-19,1509.85,1488.7,1511.69,1482.61,1497.15,1489.74,1462.6718333333333,0.0334079444091806,2026-03,Thursday
2026-03-20,1488.59,1505.74,1506.77,1486.69,1496.73,1493.3064285714286,1463.6125,-0.02805330127242378,2026-03,Friday
2026-03-23,1506.01,1486.92,1517.9,1480.55,1499.225,1495.2642857142857,1464.8719999999998,0.16669673220954806,2026-03,Monday
2026-03-24,1486.93,1495.9,1505.65,1486.46,1496.055,1495.7878571428573,1466.137,-0.21144257866563265,2026-03,Tuesday
2026-03-25,1495.9,1505.88,1507.96,1490.98,1499.47,1496.422142857143,1467.7436666666665,0.22826700890006268,2026-03,Wednesday
2026-03-26,1505.9,1508.26,1511.86,1502.15,1507.005,1498.8978571428574,1469.9183333333333,0.5025108871801409,2026-03,Thursday
2026-03-27,1508.24,1508.44,1515.46,1503.49,1509.475,1500.7299999999998,1472.0968333333335,0.16390124783924875,2026-03,Friday
2026-03-30,1508.41,1517.63,1521.98,1508.41,1515.195,1503.307857142857,1474.5580000000002,0.3789396975769632,2026-03,Monday
2026-03-31,1517.63,1506.5,1537.15,1504.65,1520.9,1506.7607142857144,1477.0961666666665,0.37651919389913857,2026-03,Tuesday
2026-04-01,1506.49,1513.89,1517.12,1497.02,1507.07,1507.8814285714286,1479.1084999999998,-0.9093300019725303,2026-04,Wednesday
2026-04-02,1513.83,1510.24,1523.9,1507.16,1515.53,1510.6635714285715,1481.4016666666669,0.5613541507693665,2026-04,Thursday
2026-04-03,1510.24,1511.27,1511.68,1504.65,1508.165,1511.9057142857143,1483.4271666666668,-0.48596860504246386,2026-04,Friday
2026-04-06,1511.19,1508.98,1511.79,1499.24,1505.515,1511.6928571428568,1485.5238333333334,-0.17571021738336245,2026-04,Monday
2026-04-07,1508.98,1496.65,1512.74,1494.51,1503.625,1510.857142857143,1487.5386666666668,-0.12553843701325063,2026-04,Tuesday
2026-04-08,1496.66,1479.54,1500.76,1470.14,1485.45,1506.6078571428573,1489.2575,-1.208745531631883,2026-04,Wednesday
2026-04-09,1479.47,1474.68,1484.62,1471.1,1477.86,1500.4592857142857,1490.9053333333334,-0.5109562758760067,2026-04,Thursday
2026-04-10,1474.66,1484.32,1487.01,1473.38,1480.195,1496.6200000000001,1492.304,0.15799872789032943,2026-04,Friday
2026-04-13,1484.36,1478.97,1496.45,1476.95,1486.7,1492.5014285714285,1493.3038333333332,0.4394691240005688,2026-04,Monday
2026-04-14,1478.98,1472.42,1485.44,1469.09,1477.265,1488.087142857143,1493.1906666666664,-0.6346270262998499,2026-04,Tuesday
2026-04-15,1472.42,1475.16,1479.26,1470.42,1474.84,1483.7050000000002,1493.3333333333333,-0.16415470480923844,2026-04,Wednesday
2026-04-16,1475.16,1479.58,1480.89,1466.5,1473.695,1479.429285714286,1493.3428333333334,-0.07763554012638618,2026-04,Thursday
2026-04-17,1479.55,1466.4,1485.55,1454.49,1470.02,1477.2250000000001,1492.9568333333332,-0.2493731742321148,2026-04,Friday
2026-04-20,1467.11,1471.95,1479.1,1465.4,1472.25,1476.4235714285714,1492.7026666666666,0.15169861634536375,2026-04,Monday
2026-04-21,1471.96,1481.86,1488.23,1467.95,1478.09,1476.122857142857,1492.9501666666667,0.3966717609101611,2026-04,Tuesday
2026-04-22,1481.92,1478.72,1486.74,1474.22,1480.48,1475.234285714286,1493.2406666666664,0.16169516064652445,2026-04,Wednesday
2026-04-23,1478.64,1483.35,1487.18,1476.77,1481.975,1475.9071428571426,1493.1225000000002,0.10098076299578373,2026-04,Thursday
2026-04-24,1483.28,1476.6,1485.88,1474.78,1480.33,1476.6914285714283,1492.7205,-0.11100052295078822,2026-04,Friday
2026-04-27,1476.61,1473.9,1477.59,1469.43,1473.51,1476.6649999999997,1492.0031666666666,-0.4607080853593404,2026-04,Monday
2026-04-28,1473.89,1472.77,1478.7,1471.83,1475.265,1477.4142857142856,1491.5228333333332,0.11910336543357047,2026-04,Tuesday
2026-04-29,1472.77,1488.82,1493.08,1472.35,1482.715,1478.909285714286,1491.0583333333334,0.5049940180238632,2026-04,Wednesday
2026-04-30,1488.81,1474.0,1488.95,1471.94,1480.445,1479.2457142857145,1490.5015,-0.15309752717144187,2026-04,Thursday
2026-05-01,1473.97,1471.16,1476.76,1466.61,1471.685,1477.9892857142856,1489.6666666666667,-0.5917139778917835,2026-05,Friday
2026-05-04,1471.29,1476.25,1479.48,1463.64,1471.56,1476.5014285714285,1488.7445,-0.008493665424325059,2026-05,Monday
2026-05-05,1476.25,1468.22,1478.39,1466.42,1472.405,1475.3692857142858,1487.9561666666666,0.057422055505718106,2026-05,Tuesday
2026-05-06,1468.25,1445.57,1474.9,1439.21,1457.055,1473.0185714285715,1486.5423333333333,-1.0425120805756527,2026-05,Wednesday
2026-05-07,1445.6,1458.65,1458.72,1445.09,1451.905,1469.6814285714283,1484.705666666667,-0.3534526836667218,2026-05,Thursday
2026-05-08,1458.66,1462.01,1470.93,1456.08,1463.505,1466.937142857143,1483.1733333333332,0.7989503445473556,2026-05,Friday
2026-05-11,1461.99,1473.91,1476.81,1461.99,1469.4,1465.3592857142855,1481.6468333333332,0.4028001270921511,2026-05,Monday
2026-05-12,1473.95,1493.24,1494.45,1473.95,1484.2,1467.1471428571429,1480.4235,1.0072138287736454,2026-05,Tuesday
2026-05-13,1493.25,1490.15,1499.91,1486.83,1493.37,1470.2628571428572,1479.9668333333334,0.6178412612855233,2026-05,Wednesday
2026-05-14,1490.14,1493.97,1495.06,1488.4,1491.73,1473.0235714285714,1479.1734999999999,-0.1098187321293409,2026-05,Thursday
2026-05-15,1493.98,1497.9,1507.83,1491.95,1499.89,1479.142857142857,1478.8976666666665,0.5470158808899894,2026-05,Friday
2026-05-18,1497.9,1489.49,1506.89,1489.02,1497.955,1485.7214285714288,1478.6456666666666,-0.12900946069379637,2026-05,Monday
2026-05-19,1489.48,1508.02,1513.28,1488.06,1500.67,1491.0307142857143,1478.5471666666665,0.18124710021329982,2026-05,Tuesday
2026-05-20,1508.01,1497.93,1513.35,1492.82,1503.085,1495.8428571428572,1479.135,0.1609281187736178,2026-05,Wednesday
2026-05-21,1497.92,1504.35,1511.71,1496.47,1504.09,1498.6842857142856,1480.0093333333332,0.0668624861534628,2026-05,Thursday
2026-05-22,1504.37,1521.09,1521.4,1502.23,1511.815,1501.3192857142858,1481.0633333333333,0.5135995851312192,2026-05,Friday
2026-05-25,1521.09,1512.55,1521.11,1505.68,1513.395,1504.4142857142858,1481.9531666666667,0.1045101417832095,2026-05,Monday
2026-05-26,1512.57,1507.36,1518.78,1501.12,1509.95,1505.8514285714284,1483.042666666667,-0.22763389597559858,2026-05,Tuesday
2026-05-27,1507.37,1502.54,1509.06,1493.82,1501.44,1506.3492857142858,1483.9293333333333,-0.5635948210205632,2026-05,Wednesday
